Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
437,17,712,Jodoin,Niklas,Bengalische Tiger,AK 20,03:04:02,00:34:08,01:32:03,00:50:40,Details
438,17,221,Wittke,Sigurd,SG Adelsberg,AK 60,03:04:06,00:39:44,01:18:58,00:59:06,Details
439,46,318,Schega,Axel,Treuenbrietzen,AK 55,03:04:13,00:34:13,01:26:30,00:54:57,Details
440,45,610,Kriebitzsch,Karsten,Cuba Libre,AK 45,03:04:17,00:36:05,00:00:00,01:00:24,Details
441,46,78,Häusler,Heiko,LFV Oberholz e. V.,AK 50,03:04:25,00:42:39,01:20:36,00:55:06,Details
442,47,633,Hoffmann,Thomas,TRIStars Markkleeberg e. V.,AK 50,03:04:27,00:38:06,01:22:33,00:57:08,Details
443,48,634,Seeger,Kai,Feldhorst,AK 50,03:04:39,00:31:07,01:18:16,01:08:06,Details
444,82,629,Dollinger,Benedikt,TEAM XALT,AK 35,03:04:42,00:34:32,01:19:39,01:04:13,Details
445,83,798,Reissig,Benjamin,Leipzig,AK 35,03:04:54,00:36:31,01:28:40,00:53:37,Details
446,46,392,Burghardt,Guido,Leipzig,AK 45,03:05:12,00:37:01,01:22:15,00:59:11,Details
447,40,630,Schäffler,Marius,Kreisliga Legenden,AK 25,03:05:21,00:40:50,01:22:04,00:56:24,Details
448,47,780,Machner,Norman,TC-Fiko,AK 45,03:05:23,00:48:30,01:21:17,00:47:43,Details
449,48,729,Fischer,Stephan,Rakete Frohsinn,AK 45,03:05:24,00:30:33,01:22:37,01:05:08,Details
450,18,632,Kockisch,Ingolf,Leipzig,AK 60,03:05:58,00:43:30,01:25:27,00:51:07,Details
451,41,543,Strang,Joshua,Leipzig,AK 25,03:06:01,00:31:57,01:24:51,01:01:44,Details
452,49,545,Worbach,Uwe,Bamberg,AK 50,03:06:24,00:36:24,01:22:51,00:59:20,Details
453,19,282,Pflister,Torsten,Team FangtDasGnu e. V.,AK 60,03:07:07,00:33:23,01:22:34,01:04:20,Details
454,95,690,Brockhagen,Sven,Taucha,AK 40,03:07:19,00:39:38,01:19:21,01:01:57,Details
455,84,669,Borchard,Simon,Squadra Veloce,AK 35,03:07:37,00:38:41,01:23:05,01:00:11,Details
456,47,298,Ziska,Steffen Gerhard,TV Dresden e. V.,AK 55,03:07:43,00:32:55,01:26:58,00:59:44,Details
457,85,579,Schumacher,Kai,Stahlrenner,AK 35,03:07:49,00:32:35,01:26:59,01:01:24,Details
458,96,149,Häußler,Sten,TC Fiko Rostock,AK 40,03:07:57,00:40:39,01:17:51,00:58:40,Details
459,86,515,Altmann,Silvio,Stahlrenner,AK 35,03:08:08,00:40:47,01:27:17,00:54:35,Details
